[2026-06-29 14:12:24,498: INFO: main: First msg for logger!]
[2026-06-30 14:29:34,633: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-06-30 14:29:34,664: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-30 14:31:09,361: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-06-30 14:31:09,367: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-30 14:32:39,532: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-06-30 14:32:39,542: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-30 14:32:39,558: INFO: common: created directory at: artifacts]
[2026-06-30 14:32:39,562: INFO: common: created directory at: artifacts/data_ingestion]
[2026-06-30 14:32:39,566: INFO: 2492900295: Downloading data from https://drive.google.com/file/d/1Yp_28UWJa3RNZhpooiA0uJHEk9OvQfzj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-30 14:32:40,092: INFO: 2492900295: Downloaded data from https://drive.google.com/file/d/1Yp_28UWJa3RNZhpooiA0uJHEk9OvQfzj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-30 14:36:44,573: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-06-30 14:36:44,582: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-30 14:36:44,586: INFO: common: created directory at: artifacts]
[2026-06-30 14:36:44,589: INFO: common: created directory at: artifacts/data_ingestion]
[2026-06-30 14:36:44,592: INFO: 1398475219: Downloading data from https://drive.google.com/file/d/1Yp_28UWJa3RNZhpooiA0uJHEk9OvQfzj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-30 14:36:45,515: INFO: 1398475219: Downloaded data from https://drive.google.com/file/d/1Yp_28UWJa3RNZhpooiA0uJHEk9OvQfzj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-30 14:37:26,253: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-06-30 14:37:26,256: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-30 14:37:26,264: INFO: common: created directory at: artifacts]
[2026-06-30 14:37:26,268: INFO: common: created directory at: artifacts/data_ingestion]
[2026-06-30 14:37:26,271: INFO: 2988617914: Downloading data from https://drive.google.com/file/d/1Yp_28UWJa3RNZhpooiA0uJHEk9OvQfzj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-30 14:37:26,979: INFO: 2988617914: Downloaded data from https://drive.google.com/file/d/1Yp_28UWJa3RNZhpooiA0uJHEk9OvQfzj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-30 14:38:30,023: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-06-30 14:38:30,028: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-30 14:38:30,031: INFO: common: created directory at: artifacts]
[2026-06-30 14:38:30,034: INFO: common: created directory at: artifacts/data_ingestion]
[2026-06-30 14:38:30,036: INFO: 2988617914: Downloading data from https://drive.google.com/file/d/1Yp_28UWJa3RNZhpooiA0uJHEk9OvQfzj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-30 14:38:30,557: INFO: 2988617914: Downloaded data from https://drive.google.com/file/d/1Yp_28UWJa3RNZhpooiA0uJHEk9OvQfzj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-30 14:39:09,335: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-06-30 14:39:09,338: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-30 14:39:09,343: INFO: common: created directory at: artifacts]
[2026-06-30 14:39:09,345: INFO: common: created directory at: artifacts/data_ingestion]
[2026-06-30 14:39:09,347: INFO: 2492900295: Downloading data from https://drive.google.com/file/d/1Yp_28UWJa3RNZhpooiA0uJHEk9OvQfzj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-30 14:39:09,866: INFO: 2492900295: Downloaded data from https://drive.google.com/file/d/1Yp_28UWJa3RNZhpooiA0uJHEk9OvQfzj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-30 19:23:45,256: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-06-30 19:23:45,443: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-30 19:23:45,445: INFO: common: created directory at: artifacts]
[2026-06-30 19:23:45,452: INFO: common: created directory at: artifacts/data_ingestion]
[2026-06-30 19:23:45,455: INFO: 3183694435: Downloading data from https://drive.google.com/file/d/1Yp_28UWJa3RNZhpooiA0uJHEk9OvQfzj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-30 19:23:45,456: INFO: 3183694435: Extracted Google Drive File ID: 1Yp_28UWJa3RNZhpooiA0uJHEk9OvQfzj]
